001 The Alternative Rock Wedding Cocktail Hour,,,,
Ain't That a Kick in the Head-Dean Martin,Ain't That a Kick in the Head,Dean Martin,,
Feeling Good-Michael Buble,Feeling Good,Michael Buble,,
Besame Mucho-Andrea Bocelli,Besame Mucho,Andrea Bocelli,,
Your Song-Elton John,Your Song,Elton John,,
I'm Yours-Jason Mraz,I'm Yours,Jason Mraz,,
Marry You-Bruno Mars,Marry You,Bruno Mars,,
Marry Me-Train,Marry Me,Train,,
Sunday Morning (Acoustic)-Maroon 5,Sunday Morning (Acoustic),Maroon 5,,
Waiting for the World to Change-John Mayer,Waiting for the World to Change,John Mayer,,
Crazy-Gnarls Barkley,Crazy,Gnarls Barkley,,
Our Day Will Come-Amy Winehouse,Our Day Will Come,Amy Winehouse,,
For Once in My Life-Stevie Wonder,For Once in My Life,Stevie Wonder,,
Just My Imagination-The Temptations,Just My Imagination,The Temptations,,
"I Can't Help Myself (Sugar Pie, Honey Bunch)-The Four Tops","I Can't Help Myself (Sugar Pie, Honey Bunch)",The Four Tops,,
,,,,
010 The Country Wedding Cocktail Hour,,,,
Honey Bee-Blake Shelton,Honey Bee,Blake Shelton,,
It's Your Love-Tim McGraw,It's Your Love,Tim McGraw,,
I Swear-John Michael Montgomery,I Swear,John Michael Montgomery,,
How Do I Live-LeAnn Rimes,How Do I Live,LeAnn Rimes,,
People Are Crazy-Billy Currington,People Are Crazy,Billy Currington,,
Pontoon-Little Big Town,Pontoon,Little Big Town,,
When the Sun Goes Down-Kenny Chesney & Uncle Kracker,When the Sun Goes Down,Kenny Chesney & Uncle Kracker,,
Cruise-Florida-Georgia Line f/ Nelly,Cruise,Florida-Georgia Line f/ Nelly,,
Chicken Fried-Zac Brown Band,Chicken Fried,Zac Brown Band,,
it's Five O'Clock Somewhere-Alan Jackson w/ Jimmy Buffett,it's Five O'Clock Somewhere,Alan Jackson w/ Jimmy Buffett,,
Red Solo Cup-Toby Keith,Red Solo Cup,Toby Keith,,
Firecracker-Josh Turner,Firecracker,Josh Turner,,
Wagon Wheel-Darius Rucker,Wagon Wheel,Darius Rucker,,
A Woman Like You-Lee Brice,A Woman Like You,Lee Brice,,
Sweet Home Alabama-Lynrd Skynrd,Sweet Home Alabama,Lynrd Skynrd,,
All Summer Long-Kid Rock,All Summer Long,Kid Rock,,
Ring of Fire-Johnny Cash,Ring of Fire,Johnny Cash,,
Lost in This Moment-Big & Rich,Lost in This Moment,Big & Rich,,
She's Everything-Brad Paisley,She's Everything,Brad Paisley,,
God Gave Me You-Blake Shelton,God Gave Me You,Blake Shelton,,
"Forever and Ever, Amen-Randy Travis","Forever and Ever, Amen",Randy Travis,,
Crazy-Patsy Cline,Crazy,Patsy Cline,,
,,,,
011 The Crooners Wedding Cocktail Hour,,,,
Fly Me to the Moon-Frank Sinatra,Fly Me to the Moon,Frank Sinatra,,
Ain't That a Kick in the Head-Dean Martin,Ain't That a Kick in the Head,Dean Martin,,
"Be-Bop, the Beguine-Sammy Davis, Jr.",Be,"Bop, the Beguine-Sammy Davis, Jr.",,
Little Girl-Vic Damone,Little Girl,Vic Damone,,
Papa Loves Mambo-Perry Como,Papa Loves Mambo,Perry Como,,
Puppy Love-Paul Anka,Puppy Love,Paul Anka,,
L-O-V-E-Nat King Cole,L,O-V-E-Nat King Cole,,
Mack the Knife-Louis Armstrong,Mack the Knife,Louis Armstrong,,
More-Bobby Darin,More,Bobby Darin,,
Beyond the Sea-Kevin Spacey,Beyond the Sea,Kevin Spacey,,
As Time Goes By-Jimmy Durante,As Time Goes By,Jimmy Durante,,
Chances Are-Johnny Mathis,Chances Are,Johnny Mathis,,
The Very Thought of You-Rod Stewart,The Very Thought of You,Rod Stewart,,
The Impossible Dream-Jerry Vale,The Impossible Dream,Jerry Vale,,
After the Lovin'-Englebert Humperdinck,After the Lovin',Englebert Humperdinck,,
The Best is Yet to Come-Tony Bennett,The Best is Yet to Come,Tony Bennett,,
"It Had to Be You-Harry Connick, Jr.",It Had to Be You,"Harry Connick, Jr.",,
The Way You Look Tonight-Michael Buble,The Way You Look Tonight,Michael Buble,,
Summer Wind-Frank Sinatra,Summer Wind,Frank Sinatra,,
You're Nobody 'Til Somebody Loves You-Dean Martin,You're Nobody 'Til Somebody Loves You,Dean Martin,,
I Only Have Eyes for You-Jamie Cullum,I Only Have Eyes for You,Jamie Cullum,,
,,,,
012 The Chanteuse Wedding Cocktail Hour,,,,
You Go to My Head-Billie Holiday,You Go to My Head,Billie Holiday,,
A Fine Romance-Ella Fitzgerald,A Fine Romance,Ella Fitzgerald,,
What a Difference a Day Made-Dinah Washington,What a Difference a Day Made,Dinah Washington,,
Speak Low-Diane Schuur,Speak Low,Diane Schuur,,
Round Midnight-Betty Carter,Round Midnight,Betty Carter,,
My Baby Just Cares for Me-Nina Simone,My Baby Just Cares for Me,Nina Simone,,
Whatever Lola Wants-Sarah Vaughan,Whatever Lola Wants,Sarah Vaughan,,
Don't Get Around Much Anymore-Nat King Cole,Don't Get Around Much Anymore,Nat King Cole,,
Lover Come Back to Me-Cassandra Wilson,Lover Come Back to Me,Cassandra Wilson,,
I Just Want to Make Love to You-Etta James,I Just Want to Make Love to You,Etta James,,
The Look of Love-Dusty Springfield,The Look of Love,Dusty Springfield,,
Besame Mucho-Diana Krall,Besame Mucho,Diana Krall,,
Someone to Watch Over Me-Linda Ronstadt,Someone to Watch Over Me,Linda Ronstadt,,
Corcovado-Astrud Gilberto,Corcovado,Astrud Gilberto,,
The Boy from Ipanema-Peggy Lee,The Boy from Ipanema,Peggy Lee,,
The Nearness of You-Norah Jones,The Nearness of You,Norah Jones,,
Body & Soul-Tony Bennett & Amy Winehouse,Body & Soul,Tony Bennett & Amy Winehouse,,
Fever-Peggy Lee,Fever,Peggy Lee,,
I Put a Spell on You-Queen Latifah,I Put a Spell on You,Queen Latifah,,
Is It a Crime?-Sade,Is It a Crime?,Sade,,
Make You Feel My Love-Adele,Make You Feel My Love,Adele,,
,,,,
013 The Christmas Wedding Cocktail Hour (Volume 1),,,,
Skating (from Peanuts)-Vince Guaraldi,Skating (from Peanuts),Vince Guaraldi,,
Rudolph the Red-Nosed Reindeer-Ella Fitzgerald,Rudolph the Red,Nosed Reindeer-Ella Fitzgerald,,
Baby It’s Cold Outside-Dean Martin,Baby It’s Cold Outside,Dean Martin,,
My Favorite Things-Tony Bennett,My Favorite Things,Tony Bennett,,
Happy Holiday (Beef Wellington Remix)-Bing Crosby,Happy Holiday (Beef Wellington Remix),Bing Crosby,,
Winter Wonderland (Remix)-Madison Park & Lenny B.,Winter Wonderland (Remix),Madison Park & Lenny B.,,
Chilly Winds Don’t Blow (Fink Remix)-Nina Simone,Chilly Winds Don’t Blow (Fink Remix),Nina Simone,,
This Christmas-Donny Hathaway,This Christmas,Donny Hathaway,,
Santa Baby-Eartha Kitt,Santa Baby,Eartha Kitt,,
Rockin’ Around the Christmas Tree-Brenda Lee,Rockin’ Around the Christmas Tree,Brenda Lee,,
Run Rudolph Run-Chuck Berry,Run Rudolph Run,Chuck Berry,,
Here Comes Santa Claus-Elvis Presley,Here Comes Santa Claus,Elvis Presley,,
Mele Kalikimaka (Merry Christmas)-Bing Crosby,Mele Kalikimaka (Merry Christmas),Bing Crosby,,
Jingle Bells-Jimmy Buffett,Jingle Bells,Jimmy Buffett,,
Santa Claus is Coming to Town-Bruce Springsteen,Santa Claus is Coming to Town,Bruce Springsteen,,
Dominick the Donkey-Lou Monte,Dominick the Donkey,Lou Monte,,
Grandma Got Run Over by a Reindeer-Elmo & Patsy,Grandma Got Run Over by a Reindeer,Elmo & Patsy,,
Jingle Bell Rock-Bobby Helms,Jingle Bell Rock,Bobby Helms,,
Up on the Housetop-The Jackson Five,Up on the Housetop,The Jackson Five,,
Christmas in Hollis-Run-D.M.C.,Christmas in Hollis,Run-D.M.C.,,
Feliz Navidad-Jose Feliciano,Feliz Navidad,Jose Feliciano,,
All I Want for Christmas is You-Mariah Carey,All I Want for Christmas is You,Mariah Carey,,
The Christmas Song (Chestnuts Roasting on an Open Fire)-Mel Torme,The Christmas Song (Chestnuts Roasting on an Open Fire),Mel Torme,,
Shimmy Down the Chimney (Fill Up My Stocking)-Alison Krauss,Shimmy Down the Chimney (Fill Up My Stocking),Alison Krauss,,
I’ve Got My Love to Keep Me Warm (Stuhr Remix)-Kay Starr,I’ve Got My Love to Keep Me Warm (Stuhr Remix),Kay Starr,,
,,,,
014 The Boardwalk Empire & Great Gatsby Wedding Cocktail Hour,,,,
Let's Misbehave-Irving Aaronson & His Commanders,Let's Misbehave,Irving Aaronson & His Commanders,,
You've Got to See Mama Ev'ry Night (Or You Can't See Mama at All)-Liza Minelli f/ Vince Giordano & The Nighthawks,You've Got to See Mama Ev'ry Night (Or You Can't See Mama at All),Liza Minelli f/ Vince Giordano & The Nighthawks,,
Somebody Loves Me-Margot Bingham f/ Vince Giordano & The Nighthawks,Somebody Loves Me,Margot Bingham f/ Vince Giordano & The Nighthawks,,
It Had to Be You-Elvis Costello f/ Vince Giordano & The Nighthawks,It Had to Be You,Elvis Costello f/ Vince Giordano & The Nighthawks,,
Baby Won't You Please Come Home-Leon Redbone f/ Vince Giordano & The Nighthawks,Baby Won't You Please Come Home,Leon Redbone f/ Vince Giordano & The Nighthawks,,
Gladiolus Rag-Scott Joplin (performed by Roy Eaton),Gladiolus Rag,Scott Joplin (performed by Roy Eaton),,
New Orleans Bump (Monrovia)-Jelly Roll Morton,New Orleans Bump (Monrovia),Jelly Roll Morton,,
Mack the Knife-Louis Armstrong,Mack the Knife,Louis Armstrong,,
Caravan-Duke Ellington & His Famous Orchestra,Caravan,Duke Ellington & His Famous Orchestra,,
It Don't Mean a Thing (If it Ain't Go That Swing)-Tony Bennett,It Don't Mean a Thing (If it Ain't Go That Swing),Tony Bennett,,
In the Mood-Glen Miller Big Band,In the Mood,Glen Miller Big Band,,
Woodchopper's Ball-Woody Herman,Woodchopper's Ball,Woody Herman,,
Go Daddy O-Big Bad Voodoo Daddy,Go Daddy O,Big Bad Voodoo Daddy,,
Zoot Suit Riot-Cherry Poppin' Daddies,Zoot Suit Riot,Cherry Poppin' Daddies,,
Booty Swing-Parov Stelar,Booty Swing,Parov Stelar,,
,,,,
015 The Classic R&B Wedding Cocktail Hour,,,,
Portuguese Love-Teena Marie,Portuguese Love,Teena Marie,,
Sparkle-Cameo,Sparkle,Cameo,,
Tender Love-Force MD's,Tender Love,Force MD's,,
Roni-Bobby Brown,Roni,Bobby Brown,,
"My, My, My-Johnny Gill","My, My, My",Johnny Gill,,
Insatiable Woman-Isley Jasper Isley,Insatiable Woman,Isley Jasper Isley,,
Don't Disturb this Groove-The System,Don't Disturb this Groove,The System,,
I Want to be Your Man-Roger,I Want to be Your Man,Roger,,
"Devotion-Earth, Wind & Fire",Devotion,"Earth, Wind & Fire",,
Show Me-Glenn Jones,Show Me,Glenn Jones,,
I Like It-Debarge,I Like It,Debarge,,
One Hundred Ways-James Ingram,One Hundred Ways,James Ingram,,
Remind Me-Patrice Rushen,Remind Me,Patrice Rushen,,
Nite & Day-Al B. Sure,Nite & Day,Al B. Sure,,
Shake You Down-Gregory Abbott,Shake You Down,Gregory Abbott,,
Cassanova-Levert,Cassanova,Levert,,
Same Ol' Love-Anita Baker,Same Ol' Love,Anita Baker,,
When Somebody Loves You Back-Teddy Pendergrass,When Somebody Loves You Back,Teddy Pendergrass,,
"Cause You Love Me, Baby-Deniece Williams","Cause You Love Me, Baby",Deniece Williams,,
Curious-Midnight Star,Curious,Midnight Star,,
Penny Lover-Lionel Richie,Penny Lover,Lionel Richie,,
Lady Love Me (One More Time)-George Benson,Lady Love Me (One More Time),George Benson,,
I Found Lovin'-The Fatback Band,I Found Lovin',The Fatback Band,,
Joy & Pain- Maze,Joy & Pain,Maze,,
All I Do-Stevie Wonder,All I Do,Stevie Wonder,,
Through the Fire-Chaka Khan,Through the Fire,Chaka Khan,,
,,,,
016 The James Bond Wedding Cocktail Hour,,,,
James Bond Theme-The John Barry Orchestra (Dr. No) (1962),James Bond Theme,The John Barry Orchestra (Dr. No) (1962),,
From Russia with Love-Matt Monro (1963),From Russia with Love,Matt Monro (1963),,
You Only Live Twice-Nancy Sinatra (1967),You Only Live Twice,Nancy Sinatra (1967),,
We Have All the Time in the World-Louis Armstrong (On Her Majesty's Secret Service) (1969),We Have All the Time in the World,Louis Armstrong (On Her Majesty's Secret Service) (1969),,
Diamonds are Forever-Shirley Bassey (1971),Diamonds are Forever,Shirley Bassey (1971),,
Nobody Does It Better-Carly Simon (The Spy Who Loved Me) (1977),Nobody Does It Better,Carly Simon (The Spy Who Loved Me) (1977),,
All-Time High-Rita Coolidge (Octopussy) (1983),All,Time High-Rita Coolidge (Octopussy) (1983),,
GoldenEye-Tina Turner (1995),GoldenEye,Tina Turner (1995),,
Licence to Kill -Gladys Knight (1989),Licence to Kill,Gladys Knight (1989),,
Wedding Party-Ivory (Licence to Kill) (1989),Wedding Party,Ivory (Licence to Kill) (1989),,
Kingston Calypso-Byron Lee & His Dragonaires (Dr. No) (1962),Kingston Calypso,Byron Lee & His Dragonaires (Dr. No) (1962),,
Under the Mango Tree-Diana Coupland (Dr. No) (1962),Under the Mango Tree,Diana Coupland (Dr. No) (1962),,
A View to a Kill-Duran Duran (1985),A View to a Kill,Duran Duran (1985),,
Die Another Day-Madonna (2002),Die Another Day,Madonna (2002),,
The Living Daylights-a-Ha (1987),The Living Daylights,a-Ha (1987),,
Live and Let Die-Paul McCartney (1973),Live and Let Die,Paul McCartney (1973),,
The World is Not Enough-Garbage (1999),The World is Not Enough,Garbage (1999),,
Tomorrow Never Dies-Sheryl Crow (1997),Tomorrow Never Dies,Sheryl Crow (1997),,
Writing's On the Wall-Sam Smith (2015),Writing's On the Wall,Sam Smith (2015),,
James Bond Theme Song (2005 drum & bass remix)-LTJ Bukem,James Bond Theme Song (2005 drum & bass remix),LTJ Bukem,,
,,,,
017 The Valentine's Day Wedding Cocktail Hour (Volume 1),,,,
My Funny Valentine-Chet Baker,My Funny Valentine,Chet Baker,,
Valentine-Jim Brickman,Valentine,Jim Brickman,,
You and I-Michael Buble,You and I,Michael Buble,,
The Nearness of You-Norah Jones,The Nearness of You,Norah Jones,,
My Baby Just Cares for Me-Nina Simone,My Baby Just Cares for Me,Nina Simone,,
Cupid (I've Loved You for a Long Time)-The Spinners,Cupid (I've Loved You for a Long Time),The Spinners,,
Always and Forever-Heatwave,Always and Forever,Heatwave,,
My Cherie Amour-Stevie Wonder,My Cherie Amour,Stevie Wonder,,
On the Wings of Love-Jeffrey Osborne,On the Wings of Love,Jeffrey Osborne,,
Ascension (Don't Ever Wonder)-Maxwell,Ascension (Don't Ever Wonder),Maxwell,,
Don't Look Any Further-Dennis Edwards,Don't Look Any Further,Dennis Edwards,,
Lovers Rock-Sade,Lovers Rock,Sade,,
I Can't Help It-Michael Jackson,I Can't Help It,Michael Jackson,,
Candy-Cameo,Candy,Cameo,,
Candy Girl-New Edition,Candy Girl,New Edition,,
The Cupid Shuffle-Cupid,The Cupid Shuffle,Cupid,,
2 Luv Birds-Robin Thicke,2 Luv Birds,Robin Thicke,,
